team_size,hero,wins,losses,draws,total_games,win_rate,avg_dmg_dealt,avg_dmg_received,avg_dmg_mitigated,avg_healing,avg_shielding,avg_stuns,avg_kills,avg_deaths,avg_assists,kda,avg_dmg_auto,avg_dmg_ability,avg_dmg_ultimate
1,archer,2470,4701,4038,11209,0.220359,374.398043,221.319413,11.64839,0,0,0,1.754215,2.235436,0,0.784731,308.179332,48.45416,17.76455
1,artillery,5506,1758,3877,11141,0.494211,465.605618,120.011118,6.316375,0,0,1.648236,2.383628,1.606229,0,1.48399,338.923201,39.711978,86.970439
1,assassin,5836,683,4680,11199,0.521118,459.627815,340.508805,17.753343,0,0,4.383427,2.4045,1.573533,0,1.52809,275.915975,108.168711,75.543129
1,berserker,1703,9425,0,11128,0.153037,219.360949,498.782798,84.875739,44.870845,133.730163,0,0.710101,2.135694,1.785316,1.168434,179.483379,0,39.87757
1,cleric,7252,2109,1679,11040,0.656884,340.25875,434.244223,52.613812,515.49264,0,1.154438,1.925272,0.730888,0,2.634155,340.25875,0,0
1,colossus,348,5917,4918,11183,0.031119,141.602693,570.790822,236.801463,0,0,0.581329,0.500134,1.238576,0,0.403798,114.62997,17.57072,9.402003
1,guardian,973,6945,3252,11170,0.087108,181.731898,345.781798,241.398547,0,132.189078,0.732856,0.727753,1.323993,0,0.549665,169.973474,0,11.758424
1,mage,3634,4001,3458,11093,0.327594,411.150982,233.439837,15.668474,0,0,0,2.05526,2.205715,0,0.931788,220.033129,85.621865,105.495988
1,monk,5520,686,4935,11141,0.495467,390.583354,338.720384,37.414074,25.082705,0,12.206714,2.171349,1.534692,0,1.414844,250.827051,91.113205,48.643098
1,oracle,2221,8051,666,10938,0.203054,270.75011,330.193997,24.085698,99.594076,20.860121,0,1.364418,2.298409,0,0.593636,270.75011,0,0
1,paladin,6531,3121,1285,10937,0.597147,262.190264,602.659322,198.878577,431.366462,0,0,1.247783,0.812929,0,1.534923,233.121518,0,29.068746
1,rogue,5415,769,4887,11071,0.489116,408.349177,186.062237,20.673582,0,0,4.600397,2.209647,1.515401,0,1.458127,253.65698,54.312557,100.37964
1,siren,1315,7246,2747,11308,0.116289,270.670138,255.432818,16.184042,0,0,5.391758,1.209232,2.437655,0,0.496064,253.198614,0,17.471525
1,sniper,4402,4411,2425,11238,0.391707,411.771003,173.193732,9.11546,0,0,0,2.211337,2.049564,0.02981,1.093475,314.613386,50.692968,46.464649
1,swordsman,1277,7915,1729,10921,0.116931,275.884071,353.174782,107.991269,18.558917,0,4.338064,0.95385,2.342551,0,0.407184,185.589166,59.347008,30.947897
1,valkyrie,4676,3190,3270,11136,0.419899,344.598005,422.342698,101.248676,23.848777,0,4.780172,1.660291,1.457884,0,1.138836,238.487775,71.097879,35.012352
1,warlock,7134,2097,1736,10967,0.650497,429.017218,227.491388,15.491483,62.307924,0,0.801404,2.362451,1.361174,0,1.735598,276.411586,90.924188,61.681444
1,wraith,6842,30,4308,11180,0.611986,451.198834,285.370803,16.632895,0,0,5.296243,2.465206,1.447585,0,1.702978,273.097387,95.079209,83.022238
2,archer,11457,9237,1568,22262,0.514644,547.580118,207.737943,11.044742,0,0,0,2.914877,2.076184,0.828722,1.803116,425.982823,73.381452,48.215843
2,artillery,15982,4027,2095,22104,0.723037,616.10862,100.476751,5.381392,0,0,1.747421,3.540717,1.215934,1.208514,3.90583,464.032388,44.965453,107.110779
2,assassin,8447,11985,1712,22144,0.381458,403.192657,500.393637,26.348565,0,0,4.264902,2.174133,2.486949,0.599169,1.115142,245.022049,102.106945,56.063663
2,berserker,5336,15351,1543,22230,0.240036,202.108194,570.287433,98.488498,41.710935,127.605061,0,0.522717,2.415924,2.722267,1.343165,166.843741,0,35.264453
2,cleric,17849,3222,1277,22348,0.798684,385.810118,308.215605,39.483632,604.154622,0,1.490961,2.04412,0.729282,3.983891,8.265677,385.810118,0,0
2,colossus,5442,14861,2010,22313,0.243894,117.539199,664.143834,276.087669,0,0,0.563125,0.282167,1.518935,1.013042,0.852709,91.525547,17.410251,8.603402
2,guardian,6870,13594,1822,22286,0.308265,149.8825,458.651094,277.678386,0,119.579467,0.585166,0.36588,1.644979,1.417392,1.08407,141.043166,0,8.839334
2,mage,12872,7476,1877,22225,0.579168,573.730429,198.089729,14.554822,0,0,0,3.145062,1.818223,0.985332,2.271665,305.0488,120.25209,148.429539
2,monk,9268,10882,1923,22073,0.419879,407.11683,450.967142,50.152659,27.26407,0,13.123681,1.965841,2.23386,0.79903,1.23771,272.640699,90.178195,44.297936
2,oracle,10442,9962,1809,22213,0.470085,335.803926,270.408343,22.055152,142.237519,39.160312,0,1.427182,1.833881,2.509702,2.14675,335.803926,0,0
2,paladin,9020,11413,1798,22231,0.40574,214.338926,633.984876,209.401662,362.969052,0,0,0.604966,1.548333,1.817957,1.564859,195.405316,0,18.93361
2,rogue,7368,12984,1800,22152,0.332611,321.179527,304.918054,33.975518,0,0,4.018057,1.701607,2.644366,0.75799,0.930127,216.358322,45.118082,59.703122
2,siren,8844,11454,1840,22138,0.399494,357.651583,234.903615,15.834621,0,0,8.272473,1.544719,2.138224,1.331647,1.345213,321.670589,0,35.980994
2,sniper,15953,4578,1830,22361,0.71343,633.189954,131.394489,7.048673,0,0,0,3.867493,1.473235,1.009883,3.310658,497.173645,67.453095,68.563213
2,swordsman,5516,15184,1492,22192,0.248558,252.88733,398.615994,124.980459,17.727871,0,4.012888,0.771134,2.637212,0.851253,0.61519,177.278714,51.314071,24.294545
2,valkyrie,8569,11898,1957,22424,0.382135,322.272259,547.513367,131.959051,22.82866,0,4.573671,1.330316,2.064529,1.074831,1.164985,228.286597,63.551142,30.434521
2,warlock,16091,4433,1713,22237,0.723614,610.190754,219.89356,14.855334,86.792103,0,0.872915,3.718082,1.247201,1.080676,3.847624,377.182334,139.813919,93.1945
2,wraith,8760,11545,1762,22067,0.396973,395.273495,470.312396,29.555306,0,0,4.587846,2.267458,2.470386,0.622377,1.169791,257.421135,85.180475,52.671886
3,archer,16591,14901,1721,33213,0.499533,581.733496,220.301811,11.801997,0,0,0,3.211965,2.136001,1.428567,2.172533,453.936185,76.086489,51.710823
3,artillery,23790,7582,1947,33319,0.714007,662.406768,96.028428,5.222584,0,0,1.751283,3.956211,1.09346,2.257691,5.682788,507.950259,47.890789,106.56572
3,assassin,12674,18624,1846,33144,0.382392,344.654692,533.103554,28.145745,0,0,3.906499,1.955588,2.6374,0.965937,1.107729,209.982429,93.226036,41.446227
3,berserker,9792,21688,1755,33235,0.294629,194.680912,571.249028,99.362155,40.005667,125.511659,0,0.467489,2.412697,2.888732,1.391066,160.022666,0,34.658246
3,cleric,25024,6884,1648,33556,0.745738,401.486801,291.671046,37.936755,625.902819,0,1.506914,1.873167,0.815234,5.82629,9.444473,401.486801,0,0
