team_size,combination,win_rate,wins,total_games
2,archer + artillery,0.740625,474,640
2,archer + assassin,0.365815,229,626
2,archer + berserker,0.35023,228,651
2,archer + cleric,0.805766,531,659
2,archer + colossus,0.342144,233,681
2,archer + guardian,0.442598,293,662
2,archer + mage,0.538583,342,635
2,archer + monk,0.472059,321,680
2,archer + oracle,0.465927,294,631
2,archer + paladin,0.509545,347,681
2,archer + rogue,0.425234,273,642
2,archer + siren,0.372019,234,629
2,archer + sniper,0.675599,479,709
2,archer + swordsman,0.349515,216,618
2,archer + valkyrie,0.508246,339,667
2,archer + warlock,0.634074,428,675
2,archer + wraith,0.456061,301,660
2,artillery + assassin,0.590604,352,596
2,artillery + berserker,0.402093,269,669
2,artillery + cleric,0.982893,632,643
2,artillery + colossus,0.603589,370,613
2,artillery + guardian,0.638298,420,658
2,artillery + mage,0.832496,497,597
2,artillery + monk,0.674847,440,652
2,artillery + oracle,0.763323,487,638
2,artillery + paladin,0.718475,490,682
2,artillery + rogue,0.598023,363,607
2,artillery + siren,0.675425,437,647
2,artillery + sniper,0.897015,601,670
2,artillery + swordsman,0.496229,329,663
2,artillery + valkyrie,0.651057,431,662
2,artillery + warlock,0.972932,647,665
2,artillery + wraith,0.657233,418,636
2,assassin + berserker,0.165891,107,645
2,assassin + cleric,0.725782,487,671
2,assassin + colossus,0.141925,87,613
2,assassin + guardian,0.155906,99,635
2,assassin + mage,0.477889,335,701
2,assassin + monk,0.371654,236,635
2,assassin + oracle,0.399404,268,671
2,assassin + paladin,0.355828,232,652
2,assassin + rogue,0.254962,167,655
2,assassin + siren,0.314456,211,671
2,assassin + sniper,0.605491,419,692
2,assassin + swordsman,0.150706,96,637
2,assassin + valkyrie,0.298921,194,649
2,assassin + warlock,0.656061,433,660
2,assassin + wraith,0.266955,185,693
2,berserker + cleric,0.657056,433,659
2,berserker + colossus,0,0,636
2,berserker + guardian,0.008518,5,587
2,berserker + mage,0.356495,236,662
2,berserker + monk,0.110248,71,644
2,berserker + oracle,0.232624,164,705
2,berserker + paladin,0.062016,40,645
2,berserker + rogue,0.10467,65,621
2,berserker + siren,0.106509,72,676
2,berserker + sniper,0.517088,348,673
2,berserker + swordsman,0.031008,20,645
2,berserker + valkyrie,0.043675,29,664
2,berserker + warlock,0.572317,368,643
2,berserker + wraith,0.158501,110,694
2,cleric + colossus,0.596302,387,649
2,cleric + guardian,0.759768,525,691
2,cleric + mage,0.814815,528,648
2,cleric + monk,0.847589,545,643
2,cleric + oracle,0.72449,497,686
2,cleric + paladin,0.859492,575,669
2,cleric + rogue,0.681887,448,657
2,cleric + siren,0.760181,504,663
2,cleric + sniper,0.9616,601,625
2,cleric + swordsman,0.657492,430,654
2,cleric + valkyrie,0.842814,563,668
2,cleric + warlock,0.915916,610,666
2,cleric + wraith,0.726457,486,669
2,colossus + guardian,0,0,674
2,colossus + mage,0.371814,248,667
2,colossus + monk,0.095624,59,617
2,colossus + oracle,0.194444,126,648
2,colossus + paladin,0.042654,27,633
2,colossus + rogue,0.107251,71,662
2,colossus + siren,0.146667,99,675
2,colossus + sniper,0.608108,360,592
2,colossus + swordsman,0.037481,25,667
2,colossus + valkyrie,0.021337,15,703
2,colossus + warlock,0.566568,383,676
2,colossus + wraith,0.144578,96,664
2,guardian + mage,0.526899,333,632
2,guardian + monk,0.163297,105,643
2,guardian + oracle,0.317757,204,642
2,guardian + paladin,0.096774,63,651
2,guardian + rogue,0.116766,78,668
2,guardian + siren,0.258806,169,653
2,guardian + sniper,0.720565,459,637
2,guardian + swordsman,0.041411,27,652
2,guardian + valkyrie,0.060842,39,641
2,guardian + warlock,0.651828,410,629
2,guardian + wraith,0.15534,96,618
2,mage + monk,0.547923,343,626
2,mage + oracle,0.543988,371,682
2,mage + paladin,0.607963,397,653
2,mage + rogue,0.438312,270,616
2,mage + siren,0.460504,274,595
2,mage + sniper,0.765306,525,686
2,mage + swordsman,0.384511,283,736
2,mage + valkyrie,0.642036,391,609
2,mage + warlock,0.73494,488,664
2,mage + wraith,0.562399,347,617
2,monk + oracle,0.485714,323,665
2,monk + paladin,0.209231,136,650
2,monk + rogue,0.332203,196,590
2,monk + siren,0.352025,226,642
2,monk + sniper,0.751903,494,657
2,monk + swordsman,0.096979,61,629
2,monk + valkyrie,0.267045,188,704
2,monk + warlock,0.776167,482,621
2,monk + wraith,0.371473,237,638
2,oracle + paladin,0.450808,307,681
2,oracle + rogue,0.365559,242,662
2,oracle + siren,0.343234,208,606
2,oracle + sniper,0.767802,496,646
2,oracle + swordsman,0.26409,164,621
2,oracle + valkyrie,0.416537,267,641
2,oracle + warlock,0.666168,445,668
2,oracle + wraith,0.377845,249,659
2,paladin + rogue,0.259484,171,659
2,paladin + siren,0.338633,213,629
2,paladin + sniper,0.823099,563,684
2,paladin + swordsman,0.112561,69,613
2,paladin + valkyrie,0.16259,113,695
2,paladin + warlock,0.760623,537,706
2,paladin + wraith,0.341014,222,651
2,rogue + siren,0.233487,152,651
2,rogue + sniper,0.490937,325,662
2,rogue + swordsman,0.121257,81,668
2,rogue + valkyrie,0.24037,156,649
2,rogue + warlock,0.589231,383,650
2,rogue + wraith,0.229642,141,614
2,siren + sniper,0.632622,415,656
2,siren + swordsman,0.166172,112,674
2,siren + valkyrie,0.340486,238,699
2,siren + warlock,0.647866,425,656
2,siren + wraith,0.361502,231,639
2,sniper + swordsman,0.507576,335,660
2,sniper + valkyrie,0.783745,540,689
2,sniper + warlock,0.862481,577,669
2,sniper + wraith,0.634473,427,673
2,swordsman + valkyrie,0.072289,48,664
2,swordsman + warlock,0.568657,381,670
2,swordsman + wraith,0.156202,102,653
2,valkyrie + warlock,0.747368,497,665
2,valkyrie + wraith,0.333333,219,657
2,warlock + wraith,0.707899,475,671
3,archer + artillery + assassin,0.553719,67,121
3,archer + artillery + berserker,0.640845,91,142
3,archer + artillery + cleric,0.977612,131,134
3,archer + artillery + colossus,0.560748,60,107
3,archer + artillery + guardian,0.697248,76,109
3,archer + artillery + mage,0.782258,97,124
3,archer + artillery + monk,0.692913,88,127
3,archer + artillery + oracle,0.740385,77,104
3,archer + artillery + paladin,0.719298,82,114
3,archer + artillery + rogue,0.516129,64,124
3,archer + artillery + siren,0.678571,95,140
3,archer + artillery + sniper,0.925,111,120
3,archer + artillery + swordsman,0.568493,83,146
3,archer + artillery + valkyrie,0.741379,86,116
3,archer + artillery + warlock,0.927928,103,111
3,archer + artillery + wraith,0.633333,76,120
3,archer + assassin + berserker,0.330882,45,136
3,archer + assassin + cleric,0.704348,81,115
3,archer + assassin + colossus,0.28,35,125
3,archer + assassin + guardian,0.29078,41,141
3,archer + assassin + mage,0.518797,69,133
3,archer + assassin + monk,0.327273,36,110
3,archer + assassin + oracle,0.379032,47,124
3,archer + assassin + paladin,0.366972,40,109
3,archer + assassin + rogue,0.263158,30,114
3,archer + assassin + siren,0.38806,52,134
3,archer + assassin + sniper,0.666667,78,117
3,archer + assassin + swordsman,0.282895,43,152
3,archer + assassin + valkyrie,0.396694,48,121
3,archer + assassin + warlock,0.550388,71,129
3,archer + assassin + wraith,0.330709,42,127
3,archer + berserker + cleric,0.595041,72,121
3,archer + berserker + colossus,0.155738,19,122
3,archer + berserker + guardian,0.25,28,112
3,archer + berserker + mage,0.464567,59,127
